Depth (m),Porosity,Permeability
1500,7.18,180
1510,10.42,270
1520,11.55,310
1540,6.22,200
1550,12.42,430
1560,4.4,190
1570,7.77,231
1580,6.08,130
1590,7.77,367
1600,11.81,400
1610,12.01,350
1630,7.97,290
1640,7.02,150
1650,8.86,310
1660,8.63,380
1680,11.53,346
1690,9,187
1700,6.42,89
1710,6.42,105
1720,9.89,256
1730,9,232
1740,11.71,321
1750,5.62,110
1760,5.98,109
1780,7.11,176
1790,10.12,210
1800,12.55,320
1810,7.77,132
1820,8.86,170
1830,8.86,150
1840,9.98,201
1850,6.68,98
1860,7.77,132
1870,5.55,115
1880,8.79,162
1890,6.77,280
1910,5.88,105
1920,4.14,110
1930,7.89,367
1940,7.89,221
1950,6.12,178
1960,8.4,276
1970,5.64,231
1980,8.47,270
1990,2.84,30
2000,11.33,321
2010,10.72,320
2030,6.61,205
2040,6.19,180
